weapons.nurs.SNEB_TYPE253_F1B,50
weapons.missiles.P_24T,50
weapons.missiles.AGM_154,50
weapons.nurs.HYDRA_70_M151_M433,50
weapons.bombs.British_GP_250LB_Bomb_Mk5,50
weapons.bombs.FAB-500M54,50
weapons.bombs.GBU_38,50
weapons.containers.F-15E_AXQ-14_DATALINK,50
weapons.bombs.BEER_BOMB,50
weapons.bombs.P-50T,50
weapons.nurs.C_8CM_GN,50
weapons.bombs.FAB-500SL,50
weapons.bombs.KAB_1500Kr,50
weapons.bombs.British_MC_250LB_Bomb_Mk1,50
weapons.droptanks.Spitfire_tank_1,50
weapons.missiles.AGM_65G,50
weapons.droptanks.C130J_Ext_Tank_R,50
weapons.missiles.AGM_65A,50
weapons.missiles.AGM_78B,50
weapons.nurs.HYDRA_70_M259,50
weapons.missiles.AGM_84E,50
weapons.bombs.AN_M30A1,50
weapons.nurs.C_25,50
weapons.containers.AV8BNA_ALQ164,50
weapons.missiles.P_60,50
weapons.bombs.OH58D_Red_Smoke_Grenade,50
weapons.bombs.FAB_1500,50
weapons.droptanks.FuelTank_350L,50
weapons.missiles.Kormoran,50
weapons.droptanks.HB_F14_EXT_DROPTANK_EMPTY,50
weapons.missiles.KD_63B,50
weapons.missiles.AIM_120,50
weapons.bombs.AGM_62,50
weapons.missiles.CATM_65K,50
weapons.missiles.Vikhr_M,50
weapons.bombs.Mk_83,50
weapons.nurs.British_HE_60LBSAPNo2_3INCHNo1,50
weapons.bombs.RBK_500U_OAB_2_5RT,50
weapons.bombs.HEBOMBD,50
weapons.missiles.CATM_9M,50
weapons.bombs.Mk_81,50
weapons.droptanks.Drop_Tank_300_Liter,50
weapons.bombs.Mk_83AIR,50
weapons.missiles.AGM_154A,50
weapons.bombs.Mk_84AIR_TP,50
weapons.bombs.GBU_31_V_3B,50
weapons.nurs.C_8CM_WH,50
weapons.missiles.Matra Super 530D,50
weapons.nurs.ARF8M3TPSM,50
weapons.missiles.TGM_65H,50
weapons.bombs.Type_200A,50
weapons.nurs.M8rocket,50
weapons.bombs.GBU_27,50
weapons.missiles.AGR_20A,50
weapons.droptanks.M2KC_RPL_522_EMPTY,50
weapons.bombs.SC_500_J,50
weapons.droptanks.F4U-1D_Drop_Tank_Aux,50
weapons.bombs.KAB_500,50
weapons.missiles.P_33E,50
weapons.missiles.Ataka_9M120,50
weapons.bombs.MK76,50
weapons.bombs.AB_250_2_SD_2,50
weapons.missiles.Rb 05A,50
weapons.missiles.HB-AIM-7E-2,50
weapons.containers.Spear,50
weapons.containers.dlpod_akg,50
weapons.bombs.BetAB_500,50
weapons.droptanks.M2KC_02_RPL541_EMPTY,50
weapons.droptanks.PTB600_MIG15,50
weapons.missiles.Rb 24J,50
weapons.nurs.C_8CM_BU,50
weapons.nurs.SNEB_TYPE259E_F1B,50
weapons.missiles.LS_6,50
weapons.nurs.WGr21,50
weapons.bombs.SAMP250HD,50
